nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
468.2741,26.5505,392.4809,28.2549,528.8361,49.4525,349.8295,52.187,605.6914,252.9488,264.2613,258.643,426.9548,70.579
469.9319,29.8904,391.9795,31.8015,531.1061,52.2423,347.6876,54.5317,600.3071,255.5688,267.5181,264.391,429.6882,65.1497
471.3254,28.1683,395.7903,28.3854,530.2335,55.0053,352.3263,54.0916,604.2108,256.3321,263.7162,261.8413,428.0434,65.5789
469.2472,26.9208,393.1505,28.7365,529.8671,51.3347,350.1748,54.2284,605.8434,255.1578,265.2435,261.2752,426.6168,69.8697
470.1456,30.9281,392.8289,31.3784,529.8956,55.6781,348.1522,54.3363,597.6358,255.6282,265.1146,264.5078,426.1799,69.6133
468.9383,29.9459,392.152,31.5753,529.0186,52.945,348.2301,54.479,598.1449,251.8351,268.157,261.0583,427.0765,68.5089
470.1414,28.8755,392.69,30.7701,530.0389,52.8278,348.1171,54.5509,599.5145,253.1157,265.0158,262.8762,426.1943,68.5973
469.2365,28.7022,391.9948,30.1749,528.988,51.9993,347.4804,52.9727,598.7521,254.4008,264.4228,263.2508,426.1322,68.4247
469.7067,28.4833,391.744,29.8374,531.1705,52.6948,347.7178,53.5428,602.2727,256.5509,265.1609,263.1932,426.7927,69.2537
470.4359,30.3419,392.6899,31.08,531.0391,55.2241,348.401,54.7215,602.1082,256.4179,265.6612,261.9734,427.6357,64.1587
468.0474,26.4601,393.4533,27.6152,526.9547,50.5956,351.1637,52.2617,603.1422,253.2846,264.6895,259.3273,426.0205,69.876
469.2258,29.6741,391.5709,31.2213,530.366,52.2741,347.5093,53.8195,603.4938,254.9597,264.7708,262.3799,425.4639,64.8039
466.2208,26.0538,391.6711,27.8463,527.6326,49.0066,350.828,51.9061,603.3797,252.9889,267.3776,258.3563,424.8136,69.0296
467.6203,29.3885,390.7382,30.883,528.2924,52.6176,347.1908,53.896,599.3754,254.3863,266.4319,260.5448,424.8745,69.6035
468.7958,29.936,391.042,30.5476,530.0566,53.4097,347.1806,52.6155,599.9521,254.8382,265.8188,262.1607,425.9336,68.5511
468.6942,29.3274,392.1285,30.3433,528.8378,53.4797,348.3741,53.8312,601.8082,256.5858,264.2709,263.1578,423.2012,69.5699
465.6731,29.238,389.379,30.9343,526.339,50.212,346.425,51.9505,600.3656,254.4802,263.3032,262.5956,423.6486,68.1784
466.9614,28.8016,390.4803,29.4073,527.8071,51.8131,347.1878,50.9594,600.8264,252.7316,263.1454,262.2347,421.0494,68.5319
465.6245,27.7165,387.9048,28.2602,529.8278,49.8384,345.5836,48.7374,603.0168,254.7798,265.5789,259.4401,420.8193,77.261
461.7172,36.8239,386.9046,38.7454,523.8186,54.0311,346.1941,57.2516,601.582,251.6647,265.2488,258.1674,416.9125,85.6247
459.9043,45.6611,384.8495,45.597,524.1367,63.9089,344.9388,61.6195,601.3055,256.1601,261.1709,259.9203,416.8512,91.5245
459.8204,52.1236,383.3531,51.3659,519.9518,71.487,339.684,67.8803,593.808,257.4067,259.5369,265.1652,417.4985,90.8153
460.013,52.4637,384.6502,52.4401,519.9725,73.884,342.092,71.6384,591.3742,258.3247,263.618,265.8408,420.1396,90.762
462.1537,53.2881,388.0817,51.9169,519.7715,74.4788,345.1381,69.4278,591.1329,259.3569,263.7645,265.4544,420.4434,90.8629
462.1484,53.7603,388.4706,52.9376,519.5581,75.9158,345.996,72.1038,591.7939,262.2695,263.7039,268.3177,418.7832,88.5017
457.3273,53.2412,387.0305,52.6058,511.1097,74.8578,346.4689,72.1297,589.6864,260.7022,258.1799,264.3538,421.115,89.3784
458.5854,54.3703,388.8794,54.2307,510.3745,75.2711,347.5607,73.8863,587.5521,256.9628,258.7919,263.7169,421.7238,89.2273
459.1205,54.9327,389.4726,54.5,509.2223,77.5096,347.1567,75.4631,583.5059,255.7683,259.1475,264.5549,420.012,88.3634
457.894,54.0961,388.1671,52.8065,508.2482,75.8729,345.795,71.9439,583.6761,255.7912,255.7987,264.4337,417.9214,90.3204
458.9039,54.1464,385.8511,53.2934,514.3087,76.9173,342.8818,73.1697,588.072,258.9652,261.3981,266.793,377.6066,102.7713
418.1798,59.8555,341.7666,58.2628,469.642,70.9876,296.0256,68.7342,537.2564,268.7508,235.8323,263.8305,378.6946,95.6508
