nose_x,nose_y,L_eye_x,L_eye_y,R_eye_x,R_eye_y,L_ear_x,L_ear_y,R_ear_x,R_ear_y,L_shoulder_x,L_shoulder_y,R_shoulder_x,R_shoulder_y
406.2497, 230.4893, 440.5248, 179.1644, 361.1488, 188.3159, 501.9316, 125.0671, 313.5588, 149.1492, 596.0653, 251.1202, 253.6572, 269.9286
404.5218, 228.1721, 438.1862, 180.7193, 361.0885, 188.6414, 495.4977, 130.9634, 313.7251, 152.0558, 594.7909, 248.3022, 249.4926, 266.5191
405.2039, 232.4013, 440.8581, 183.4081, 361.9537, 190.3964, 502.212, 131.1415, 315.3299, 149.722, 591.4724, 247.4518, 253.9761, 264.4477
408.3441, 227.149, 441.3502, 177.2288, 363.4031, 187.6294, 501.8568, 127.8218, 316.9067, 154.5685, 596.8104, 249.2939, 257.8689, 265.8476
408.2106, 227.9379, 442.3564, 177.438, 363.2841, 187.2085, 504.1407, 127.8492, 316.7455, 153.0131, 597.0397, 251.2999, 256.8396, 267.4092
361.4614, 199.5699, 405.8167, 143.3286, 316.1534, 145.2891, 473.5855, 105.1181, 267.3575, 113.0571, 559.703, 269.2681, 221.1992, 272.3887
364.7667, 198.6426, 405.7847, 142.3577, 316.5404, 147.6122, 468.2349, 104.0756, 265.1708, 120.4433, 554.5578, 265.0841, 228.5928, 271.3147
367.435, 199.1129, 408.7366, 143.4851, 318.7679, 148.2845, 469.9345, 107.6304, 265.9269, 122.7272, 553.3881, 265.4743, 229.8394, 271.051
366.2263, 202.8681, 410.2908, 148.0001, 321.8318, 149.8639, 476.4968, 110.319, 272.8636, 117.356, 559.6904, 265.75, 223.7366, 271.0385
364.1509, 205.4447, 408.3936, 150.8002, 320.1568, 151.8501, 475.2289, 111.2128, 271.5922, 116.7267, 561.1378, 268.4704, 222.538, 269.9934
364.7162, 205.0335, 409.5593, 149.4124, 319.5026, 150.8474, 476.817, 110.2153, 269.9863, 116.6449, 562.0259, 267.2413, 224.5547, 271.7861
367.178, 203.8782, 408.8734, 148.897, 319.4203, 152.5711, 470.4829, 110.7052, 267.2868, 123.2217, 555.5364, 267.1102, 228.0121, 271.0847
365.6692, 204.0723, 408.6467, 149.5147, 321.0266, 151.0815, 473.2371, 110.0471, 271.6284, 116.9226, 558.1243, 270.5229, 223.3302, 269.4559
363.8661, 204.413, 409.1075, 149.7933, 319.9598, 150.2043, 476.0569, 111.435, 270.9192, 115.1201, 558.5658, 265.0331, 221.8835, 269.6003
365.452, 203.3352, 410.9049, 148.0142, 320.0468, 148.3329, 477.2949, 108.689, 269.4545, 112.5386, 560.5065, 265.9, 220.6396, 265.8237
